,BCC,,,,,SC,
strain*(-1),strain,stress,,,strain*(-1),strain,stress
,,,,,,,
0,0,0,,,0,0,0
0.000678432,-6.78E-04,1.04501,,,0.000553554,-5.54E-04,7.94E-01
0.0013566,-1.36E-03,2.09005,,,0.00110735,-1.11E-03,1.58825
0.00237336,-2.37E-03,3.65778,,,0.0019385,-1.94E-03,2.78034
0.00389739,-3.90E-03,6.00976,,,0.00318626,-3.19E-03,4.56993
0.0061809,-6.18E-03,9.5386,,,0.00506022,-5.06E-03,7.2576
0.0095731,-9.57E-03,14.786,,,0.0078416,-7.84E-03,11.2466
0.0130036,-1.30E-02,20.1143,,,0.0106291,-1.06E-02,15.2444
0.0169423,-1.69E-02,21.7617,,,0.0134221,-1.34E-02,19.2571
0.0215075,-2.15E-02,22.4561,,,0.0167916,-1.68E-02,21.535
0.026734,-2.67E-02,23.3015,,,0.0211061,-2.11E-02,22.0642
0.032123,-3.21E-02,24.117,,,0.0254474,-2.54E-02,22.5998
0.0367184,-3.67E-02,24.5188,,,0.0298049,-2.98E-02,23.138
0.0401197,-4.01E-02,24.821,,,0.0340657,-3.41E-02,23.6654
0.0427671,-4.28E-02,25.0575,,,0.03842,-3.84E-02,24.1047
0.044826,-4.48E-02,25.2453,,,0.0428266,-4.28E-02,24.3853
0.0467436,-4.67E-02,25.4243,,,0.0470938,-4.71E-02,24.6572
0.0486301,-4.86E-02,25.6041,,,0.0514694,-5.15E-02,24.9361
0.0505385,-5.05E-02,25.7875,,,0.0558841,-5.59E-02,25.2179
0.0523884,-5.24E-02,25.9684,,,0.0603066,-6.03E-02,25.5005
0.0542427,-5.42E-02,26,,,0.0647294,-6.47E-02,25.7832
0.0560884,-5.61E-02,26,,,0.0692741,-6.93E-02,26
0.0578944,-5.79E-02,26,,,0.0744003,-7.44E-02,26
0.0596769,-5.97E-02,26,,,0.0799409,-7.99E-02,26
0.0599897,-6.00E-02,26,,,0.0808813,-8.09E-02,26
